kanji,hanviet,hiragana,meaning
人生,"nhân, sinh",じんせい,cuộc sống
人間,"nhân, gian",にんげん,con người
人,nhân,ひと,người
祖先,"tổ, tiên",そせん,tổ tiên
親戚,"thân, thích",しんせき,họ hàng
夫婦,"phu, thê",ふうふ,vợ chồng
長男,"trường, nam",ちょうなん,trưởng nam
主人,"chủ, nhân",しゅじん,"chồng, chủ tiệm"
双子,"song, tử",ふたご,sinh đôi
迷子,"mê, tử",まいご,trẻ bị lạc
他人,"tha, nhân",たにん,người khác
敵,địch,てき,kẻ thù
味方,"vi, phương",みかた,"bạn bè, đồng minh"
筆者,"bút, giả",ひっしゃ,tác giả
寿命,"thọ, mệnh",じゅみょう,tuổi thọ
将来,"tương, lai",しょうらい,tương lai
才能,"tài, năng",さいのう,tài năng
能力,"năng, lực",のうりょく,năng lực
長所,"trường, sở",ちょうしょ,sở trường
個性,"cá, tính",こせい,cá tính
遺伝,"di, truyền",いでん,di truyền
動作,"động, tác",どうさ,động tác
真似,"chân, tự",まね,"bắt chước, copy"
睡眠,"thụy, miên",すいみん,ngủ
食欲,"thực, dục",しょくよく,thèm ăn
外食,"ngoại, thực",がいしょく,ăn ngoài
家事,"gia, sự",かじ,việc nhà
出産,"xuất, sản",しゅっさん,sinh đẻ
介護,"giới, hộ",かいご,"chăm sóc, trông nom"
共働き,"cộng, động",ともばたらき,vợ chồng cùng làm việc
出勤,"xuất, cần",しゅっきん,đi làm
出世,"xuất, thế",しゅっせ,thành đạt
地位,"địa, vị",ちい,"địa vị, vị trí"
受験,"thụ, nghiệm",じゅけん,"kì thi, tham gia kỳ thi"
専攻,"chuyên, công",せんこう,chuyên ngành
支度,"chi, độ",したく,chuẩn bị
全身,"toàn, thân",ぜんしん,toàn bộ cơ thể
しわ,,しわ,nếp nhăn
服装,"phục, trang",ふくそう,"quần áo, trang phục"
礼,lễ,れい,"lễ, cảm ơn"
世辞,"thế, từ",せじ,"nịnh, ca tụng"
言い訳,"ngôn, dịch",いいわけ,lý do
話題,"thoại, đề",わだい,chủ đề
秘密,"bí, mật",ひみつ,bí mật
尊敬,"tôn, kính",そんけい,tôn trọng
謙そん,khiêm,けんそん,khiên tốn
期待,"kì, đãi",きたい,mong chờ
苦労,"khổ, lao",くろう,lo lắng
意志,"ý, chí",いし,ý chí
感情,"cảm, tình",かんじょう,"biểu cảm, tôn tọng"
材料,"tài, liệu",ざいりょう,nguyên liệu
石,thạch,いし,đá
ひも,,ひも,dây
券,khoán,けん,vé
名簿,"danh, bộ",めいぼ,"danh bạ, danh sách"
表,biểu,ひょう,bảng biểu
針,châm,けり,kim
栓,xuyên,せん,"nút, nắp"
湯気,"thang, khí",ゆげ,"hơi, khí"
日当たり,"nhật, đương",ひあたり,nơi có ánh sáng chiếu vào
