kanji,hanviet,hiragana,meaning
祭典,,さいてん,Lễ hội
～周年,,しゅうねん,Kỷ niệm ~ năm (thành lập)
開幕,,かいまく,Khai mạc
,,ミュンヘン,Munich - thành phố của Đức
樽,,たる,Thùng rượu gỗ
東京ドーム,,とうきょうドーム,Tokyo Dome (Sử dụng làm sân thi đấu bóng chày hoặc sự kiện ca nhạc lớn)
敷地,,しきち,"Nền đất, mặt bằng"
繰り広げる,,くりひろげる,"Mở ra, trải ra, cảm giác hồi hộp, háo hức khi xem trận đấu thể thao hấp dẫn"
本場,,ほんば,"Vùng sản xuất chính, nguồn gốc, chính cống, thực sự, thật"
各国,,かっこく,"Mỗi nước, mỗi quốc gia"
訪れる,,おとずれる,"Thăm, viếng thăm"
節目,,ふしめ,"Thời điểm quan trọng, cột mốc, bước ngoặt"
再現（する）,,さいげん（する）,"Tái hiện, dựng lại, tái sản xuất"
設置（する）,,せっち（する）,"Cài đặt, lắp đặt"
漂う,,ただよう,"Trôi, nổi, dạt dào, lộ ra, bồng bềnh, phảng phất"
連日,,れんじつ,"Hàng ngày, ngày lại ngày, mỗi ngày"
バイエルン地方,,バイエルンちほう,Bavaria
競馬,,けいば,Đua ngựa
開催（する）,,かいさい（する）,"Tổ chức, đăng cai"
集客,,しゅうきゃく,"Thu hút khách hàng, tập trung khách hàng"
見込む,,みこむ,"Dự báo, dự tính, triển vọng"
,,メイン,"Chính, chủ yếu"
ノンアルコール飲料,,ノンアルコールいんりょう,Đồ uống không cồn
,,バー,Quán Bar
,,メリーゴーラウンド,Trò chơi ngựa gỗ chạy vòng quanh
,,ジェットコースター,Trò chơi tàu lượn
興奮気味,,こうふんぎみ,"Hào hứng, phấn khích, hứng thú"
監督,,かんとく,"Đạo diễn, huấn luyện viên, người quản đốc"
新作,,しんさく,Tác phẩm mới
,,ロケ,"Vị trí bấm máy, địa điểm quay phim, quay ngoại cảnh phim"
～商事,,～しょうじ,Công ty thương mại ~
商事会社の名前,,しょうじがいしゃのなまえ,Tên công ty thương mại
負担,,ふたん,"Gánh nặng, phụ trách"
家計,,かけい,"Tài chính, ngân sách gia đình, gia cảnh"
,,のしかかる,Cân
組織（する）,,そしき（する）,Tổ chức
ねぶた祭,,ねぶたまつり,Lễ hội Nebuta
東北,,とうほく,Tohoku (vùng Đông Bắc Nhật Bản)
海水浴場,,かいすいよくじょう,Bãi tắm biển
物件,,ぶっけん,Tài sản (bất động sản)
入居,,にゅうきょ,"Nhập cư, chuyển đến nơi ở mới"
殺到（する）,,さっとう（する）,"Cao điểm, chen lấn"
遺伝学,,いでんがく,Di truyền học
,,ダ・ビンチ,Da Vinci (nghệ sỹ người ý)
,,モナリザ,Mona Lisa: Một tác phẩm của Leonardo Da Vinci
辞意,,じい,Từ chức
表明（する）,,ひょうめい（する）,Công bố
一斉に,,いっせいに,Đồng loạt
寛容な,,かんような,Khoan dung
独特,,どくとく,"Nét đặc sắc riêng của từng vùng, từ nơi, từng sản phẩm, từng người"
聖火リレー,,せいかリレー,Rước đuốc Olimpic
控える,,ひかえる,"Chế ngự, kiềm chế, giữ gìn, chờ đợi"
普段,,ふだん,"Bính thường, thông thường"
評価,,ひょうか,Đánh giá
～に打ち込む,,～にうちこむ,"Chú tâm, dốc hết tâm sức và tinh thần vào ~"
,,サミット,Hội nghị
姿,,すがた,"Hình ảnh, dáng vóc"
配慮（する）,,はいりょ（する）,"Suy tư, lo lắng, e ngại, dè chừng"
従来,,じゅうらい,Từ xưa đến nay
,,キャプテン,Đội trưởng
姿勢,,しせい,Tư thế
床下,,ゆかした,Dưới sàn nhà
村上春樹,,むらかみはるき,Haruki Murakami (tiểu thuyết gia người Nhật)
,,コラム,"Cột, mục"
竹,,たけ,Cây tre
工芸品,,こうげいひん,Hàng thủ công mỹ nghệ
介護靴,,かいごぐつ,Giầy dành cho người chăm sóc (hộ lý)
経緯,,けいい,"Quá trình học hành, kinh nghiệm"
責任逃れ,,せきにんのがれ,"Thoái thác trách nhiệm, trốn tránh trách nhiệm"
事ここに至る,,ことここにいたる,"Tới mức, đến mức, đến độ"
当社,,とうしゃ,Công ty này
電源プラグ,,でんげんプラグ,Phích cắm điện
提案（する）,,ていあん（する）,Đề án
当～、この～,,とう～、この～,Này ~
幼児,,ようじ,"Em bé, trẻ con"
育成,,いくせい,Đào tạo
乳酸菌,,にゅうさんきん,Khuẩn lên men
整腸薬,,せいちょうやく,Thuốc về đường ruột
起動,,きどう,Khởi động
機種,,きしゅ,"Loại máy, đời máy"
薄暗い,,うすぐらい,Mờ mờ tối
かび臭い,,かびくさい,Mùi mốc
懐石料理,,かいせきりょうり,Bữa ăn đơn giản bày ra mời lót dạ trước khi dùng trà
親戚,,しんせき,"Bà con họ hàng, thân thích"
設立,,せつりつ,Thiết lập
資金,,しきん,"Quỹ, tiền vốn"
市議会,,しぎかい,Hội nghị thành phố
産業医,,さんぎょうい,Bác sỹ riêng của công ty
増員,,ぞういん,Tăng cường nhân viên
小規模,,しょうきぼ,Quy mô nhỏ
事業所,,じぎょうしょ,Văn phòng
補助,,ほじょ,Hỗ trợ
～未満,,みまん,Chưa tới/chưa đủ ~
規模,,きぼ,"Quy mô, kích cỡ"
選任（する）,,せんにん（する）,Bổ nhiệm
全国平均,,ぜんこくへいきん,Bình quân toàn quốc
～程度,,ていど,"Mức độ, cỡ ~"
,,わずか,"Chỉ, ít ỏi"
中小企業,,ちゅうしょうきぎょう,Doanh nghiệp vừa và nhỏ
労働者,,ろうどうしゃ,Người lao động
病状,,びょうじょう,"Bệnh trạng, triệu chứng"
休職,,きゅうしょく,"Nghỉ làm, nghỉ phép"
猶予,,ゆうよ,"Để chậm lại, hoãn lại"
働き盛り,,はたらきざかり,"Thời kỳ đẹp nhất, làm ăn phát đạt nhất"
行政,,ぎょうせい,Hành chính
サポート体制,,サポートたいせい,Chế độ hậu mãi
充実（する）,,じゅうじつ（する）,Trang bị đầy đủ
各方面,,かくほうめん,"Các phương diện, các mặt"
実績,,じっせき,Thành quả đạt được
笑顔,,えがお,Khuôn mặt tươi cười
予算,,よさん,Dự toán
昨年度,,さくねんど,Năm ngoái (năm tài khóa)
